Sensing Matrix,Algorithm,mean_PRD,mean_NMSE,mean_SNDR,mean_Time_s
BPBD,BPD,11.878225051122131,0.11878225051122111,12.585407821675927,0.680276395041367
BPBD,BPDN,11.880379898964241,0.1188037989896423,12.5846158063289,0.6768552890317193
BPBD,OMP,11.703291964608058,0.11703291964608042,13.16843583695523,2.930266785621643
Bernoulli,BPD,39.301467442902855,0.3930146744290291,5.330502221127869,5.02225014275518
Bernoulli,BPDN,39.291700874012875,0.3929170087401289,5.334357040366253,4.917598617487941
Bernoulli,OMP,1577.6715980613928,15.77671598061392,2.734218937534021,3.753474165817787
Gaussian,BPD,38.61356462123764,0.3861356462123761,5.416854084382639,5.465362310573973
Gaussian,BPDN,38.59544939309822,0.38595449393098236,5.4158967180727915,5.197532671566667
Gaussian,OMP,1192.77424066166,11.9277424066166,3.4450097610084716,3.446799817085266
SB,BPD,40.63819713676391,0.40638197136763937,4.239065589171535,1.819236572364281
SB,BPDN,40.62859945609105,0.40628599456090986,4.236022109439032,1.5402195262908935
SB,OMP,1088.066904917147,10.88066904917148,3.1713598113653183,2.3302854889836806
Undersampled,BPD,56.387282182419106,0.5638728218241916,-0.04821358400871418,0.4477727852196529
Undersampled,BPDN,56.41041870496551,0.5641041870496548,-0.053535926455508046,0.4448493217599803
Undersampled,OMP,100.88880269909801,1.0088880269909777,5.184490884493646,3.06739687081041
