Dataset,Sparsifying Matrix,Algorithm,mean_PRD,mean_NMSE,mean_SNDR,mean_Time_s
bciiii_2,DCT,AMPLasso,100.0,1.0,-12.958198807485545,0.751344404220581
bciiii_2,DCT,BPD,8.403711308811705,0.08403711308811734,11.720494462500897,0.8916144227981567
bciiii_2,DCT,BPDN,8.403812491664286,0.0840381249166429,11.720341524599544,0.9645860385894776
bciiii_2,DCT,OMP,6.2691804880191215,0.06269180488019098,14.310838217297906,22.153301467895506
bciiii_2,Wavelet,AMPLasso,100.0,1.0,-12.958198807485545,0.9529226636886596
bciiii_2,Wavelet,BPD,9.262082872867516,0.09262082872867528,11.447120289356468,1.5994657754898072
bciiii_2,Wavelet,BPDN,9.264400299291758,0.0926440029929175,11.44587000045341,1.453192162513733
bciiii_2,Wavelet,OMP,35.21890481514701,0.3521890481514703,7.151510914252737,19.375567803382875
bciiv_1,DCT,AMPLasso,100.0,1.0,-0.29962938735569894,0.9508211946487427
bciiv_1,DCT,BPD,5.226033831678215,0.05226033831678217,21.601845920573858,1.185623393058777
bciiv_1,DCT,BPDN,5.225893483136795,0.05225893483136772,21.60167781546415,1.3117952060699463
bciiv_1,DCT,OMP,4.710975861766472,0.047109758617664595,22.434473898998295,22.29759222507477
bciiv_1,Wavelet,AMPLasso,100.0,1.0,-0.29962938735569894,0.8386288166046143
bciiv_1,Wavelet,BPD,5.9589722981156905,0.05958972298115692,20.641941277513038,2.4656513929367065
bciiv_1,Wavelet,BPDN,5.959774211231226,0.059597742112312224,20.64062735373625,2.115049328804016
bciiv_1,Wavelet,OMP,29.007021392635725,0.29007021392635685,13.76382046120586,20.811456441879272
chbmit,DCT,AMPLasso,100.0,1.0,-27.09591872962513,0.29884685039520265
chbmit,DCT,BPD,8.754977644001512,0.08754977644001513,15.050056697533169,0.5832865571975708
chbmit,DCT,BPDN,8.754688309028317,0.08754688309028306,15.049244222467978,0.5729770374298095
chbmit,DCT,OMP,8.824992547147229,0.08824992547147227,16.738870216272765,9.363163046836853
chbmit,Wavelet,AMPLasso,100.0,1.0,-27.09591872962513,0.3017207908630371
chbmit,Wavelet,BPD,11.268820581064611,0.11268820581064631,13.409907722189748,1.1335464429855346
chbmit,Wavelet,BPDN,11.266445642018432,0.11266445642018443,13.407027205998657,1.0127544784545899
chbmit,Wavelet,OMP,29.305490870950944,0.2930549087095098,8.331376135303895,10.448598890304565
